Abellanas M., (1991)., Matematica discreta., Macrobit.,Facultad de Ingeniería (División de Estudios Profesionales).,tema 1,
Comellas F., (2002)., Matematica discreta., Alfaomega.,Facultad de Ingeniería (Anexo).,tema 1,
Epp S. García Hernández A. & Epp S., (2012)., Matemáticas discretas con aplicaciones (Cuarta edición)., Cengage Learning Editores.,Facultad de Ingeniería (Anexo).,Tema2,
Espinosa Armenta R., (2010)., Matemáticas discretas (2a edición)., Alfaomega.,Facultad de Ingeniería (Anexo).,Tema4,
García Merayo F., (2015)., Matemática discreta (3a edición)., Paraninfo.,Facultad de Ingeniería (Anexo).,Tema5,
Lipschutz S. Lars Lipson M. & Villagómez Velázquez H., (2009)., Matemáticas discretas., McGraw-Hill Interamericana.,Facultad de Ingeniería (Anexo).,Tema7,
Moreno García J. & Pazos Sierra J., (2015)., Matemática discreta (2.ª edición)., Centro de Estudios Financieros.,Facultad de Ingeniería (Anexo).,Tema 4,
Scheinerman E. & Gonzalez Pozo V., (2001)., Matemáticas discretas., Thomson Learning.,Facultad de Ingeniería (Anexo)., Tema 1,
Scheinerman R. & Gonzalez Pozo V., (2001)., Matemáticas discretas., Thomson Learning.,Facultad de Ingeniería (Posgrado)., Tema 2,
Tremblay P. Rama M. & Rangel Gutiérrez H., (1996)., Matematicas discretas: con aplicacion a las ciencias de la computacion., CECSA.,Facultad de Ingeniería (Anexo).,Tema 2,
Tremblay P. Rama M. & Rangel Gutiérrez R., (1996)., Matematicas discretas: con aplicacion a las ciencias de la computacion., CECSA.,Facultad de Ingeniería (División de Estudios Profesionales).,Tema 2,
Zaldívar Esquivel O. & Zaldívar Zamorategui O., (2011)., Estructuras discretas: lógica proposicional y cálculo de predicados: cuaderno de ejercicios., UNAM.,Facultad de Ingeniería (División de Estudios Profesionales).,Tema 2,
